Wall time,Step,Value
1606976375.4327154,30,163580.421875
1606976375.5521836,35,81168.140625
1606976376.0179381,55,25869.466796875
1606976376.132632,60,22180.2890625
1606976376.378871,70,87168.359375
1606976376.4945347,75,77245.671875
1606976376.6129348,80,63299.4140625
1606976376.9617445,95,19687.8359375
1606976377.0837011,100,43056.328125
1606976377.2123697,105,21500.76953125
1606976377.6853468,125,15333.5087890625
1606976378.7356498,170,6547.68896484375
1606976378.8512356,175,42112.125
1606976379.085033,185,28068.875
1606976379.566178,205,11512.26953125
1606976379.808861,215,16909.771484375
1606976380.0532656,225,9257.90234375
1606976380.1698487,230,17696.056640625
1606976380.4045012,240,13544.2734375
1606976380.6352317,250,6172.927734375
1606976381.1482306,255,3011.18603515625
1606976381.4985003,270,619.2886962890625
1606976381.6160343,275,8447.2431640625
1606976381.7339668,280,16009.0615234375
1606976381.8488967,285,1047.9349365234375
1606976381.9652731,290,605.90869140625
1606976382.4378014,310,261.0889892578125
1606976382.67536,320,150.20779418945312
1606976382.9098096,330,214.1397705078125
1606976383.0300179,335,197.22682189941406
1606976383.1561093,340,110.40937805175781
1606976383.272492,345,120.7071762084961
1606976383.62607,360,356.730224609375
1606976383.7419968,365,1358.8201904296875
1606976383.8582273,370,329.177734375
1606976383.9758205,375,458.8185119628906
1606976384.5697448,400,258.76739501953125
1606976385.150518,425,297.26068115234375
1606976385.2686305,430,76.18309783935547
1606976385.3946867,435,154.8191680908203
1606976385.5099025,440,466.9549255371094
1606976385.6309822,445,254.9613037109375
1606976385.7476575,450,103.10214233398438
1606976386.359863,475,108.8240737915039
1606976387.7690437,515,81.05292510986328
1606976388.1368582,530,273.62908935546875
1606976388.2529347,535,234.1414794921875
1606976389.0795774,570,1679.1300048828125
1606976389.4339375,585,433.4733581542969
1606976389.6744702,595,432.3633728027344
1606976389.791119,600,201.4136505126953
1606976390.3758729,625,445.2874755859375
1606976390.5000653,630,583.3864135742188
1606976390.6159527,635,353.51446533203125
1606976390.9678771,650,463.5078125
1606976391.092531,655,566.225341796875
1606976391.91512,690,931.231201171875
1606976392.1473029,700,346.40234375
1606976392.383063,710,1209.886962890625
1606976392.5034573,715,708.5777587890625
1606976392.620779,720,466.0920715332031
1606976392.7363865,725,828.540283203125
1606976393.8356261,755,1335.1622314453125
1606976394.1839867,770,795.4073486328125
1606976394.4201608,780,494.3306884765625
1606976394.6558812,790,1566.8131103515625
1606976394.7727356,795,1021.443359375
1606976394.888317,800,397.43585205078125
1606976395.239071,815,633.2787475585938
1606976395.5897415,830,560.9240112304688
1606976395.8223596,840,978.421630859375
1606976395.9379525,845,365.9588623046875
1606976396.2889454,860,1347.6077880859375
1606976396.8792796,885,481.18414306640625
1606976396.995731,890,1132.3349609375
1606976397.1119642,895,589.9960327148438
1606976397.3460553,905,458.1427307128906
1606976397.7025628,920,502.5066833496094
1606976397.9347684,930,643.4359130859375
1606976398.0529773,935,418.9176025390625
1606976398.292061,945,395.24261474609375
1606976398.5253856,955,462.4069519042969
1606976398.643665,960,579.3104858398438
1606976399.4662838,995,583.9747924804688
1606976400.8340771,1035,78950.21875
1606976400.949755,1040,23671.7421875
1606976401.0720327,1045,5111.3994140625
1606976401.5443866,1065,9064.150390625
1606976401.8972938,1080,8643.3115234375
1606976402.2544756,1095,6101.8701171875
1606976403.211229,1115,4040.679931640625
1606976403.3270392,1120,19890.8203125
1606976403.5587626,1130,2709.3173828125
1606976403.6799848,1135,4639.060546875
1606976403.7977233,1140,1210.389892578125
1606976404.0354207,1150,1063.1988525390625
1606976404.3958247,1165,1479.36181640625
1606976404.5141795,1170,974.6695556640625
1606976404.636563,1175,815.8731079101562
1606976405.010124,1190,753.3582763671875
1606976406.1991315,1240,979.7692260742188
1606976406.4348695,1250,1048.09521484375
1606976407.5436337,1280,255.07994079589844
1606976407.9028935,1295,229.9639129638672
1606976408.0267713,1300,415.9043884277344
1606976408.162724,1305,414.7402038574219
1606976408.2853782,1310,342.1274108886719
1606976408.5420747,1320,157.01976013183594
1606976409.0530713,1340,92.38661193847656
1606976409.2996283,1350,4936.72412109375
1606976409.5382957,1360,626.17041015625
1606976409.8166997,1370,496.5727233886719
1606976410.6025064,1395,328.983642578125
1606976410.839273,1405,305.2489929199219
