Wall time,Step,Value
1607013312.390722,95,0.189453125
1607013325.6135237,215,0.2265625
1607013327.267571,230,0.1875
1607013333.5667229,285,0.193359375
1607013341.8598843,360,0.212890625
1607013343.518648,375,0.203125
1607013354.5764303,475,0.169921875
1607013388.82043,780,0.208984375
1607013390.4852488,795,0.20703125
1607013395.4775214,840,0.224609375
1607013404.3519616,920,0.18359375
1607013430.076996,1150,0.208984375
1607013432.8505423,1175,0.18359375
1607013444.707609,1280,0.1875
1607013447.4804113,1305,0.2109375
1607013451.3645773,1340,0.232421875
1607013454.704105,1370,0.208984375
1607013474.327309,1545,0.146484375
1607013475.4370155,1555,0.220703125
1607013479.8757102,1595,0.21875
1607013491.5244365,1700,0.197265625
1607013495.9610736,1740,0.189453125
1607013507.2643955,1840,0.203125
1607013537.4403353,2110,0.212890625
1607013537.9952865,2115,0.22265625
1607013549.0888944,2215,0.197265625
1607013550.7533581,2230,0.203125
1607013559.2843068,2305,0.22265625
1607013560.9481413,2320,0.208984375
1607013561.5022326,2325,0.21875
1607013567.0491414,2375,0.21484375
1607013577.5882614,2470,0.205078125
1607013589.4513068,2575,0.1953125
1607013601.680968,2685,0.193359375
1607013616.8586457,2820,0.1875
1607013625.7327387,2900,0.1953125
1607013629.6151521,2935,0.2265625
1607013630.1698735,2940,0.2265625
1607013649.6885147,3105,0.228515625
1607013657.58059,3175,0.234375
1607013661.54778,3210,0.255859375
1607013662.1180089,3215,0.24609375
1607013663.25312,3225,0.28125
1607013664.955969,3240,0.271484375
1607013666.0828145,3250,0.294921875
1607013673.2332082,3310,0.29296875
1607013678.813319,3360,0.357421875
1607013703.5271814,3575,0.3828125
1607013708.0785186,3615,0.427734375
1607013712.6157928,3655,0.4765625
1607013725.4017165,3765,0.48828125
1607013727.6632922,3785,0.455078125
1607013732.757165,3830,0.46875
1607013735.0465808,3850,0.52734375
1607013736.181217,3860,0.494140625
1607013744.0676858,3930,0.349609375
1607013745.1907349,3940,0.37890625
1607013747.969249,3965,0.3828125
1607013749.0930169,3975,0.36328125
1607013751.3501153,3995,0.439453125
1607013753.84388,4015,0.41796875
1607013757.2499156,4045,0.474609375
1607013757.8170595,4050,0.453125
1607013770.7329133,4165,0.45703125
1607013772.951825,4185,0.447265625
1607013798.6932473,4415,0.478515625
1607013812.7919111,4540,0.51953125
1607013813.9018178,4550,0.51953125
1607013818.3420947,4590,0.443359375
1607013832.218148,4715,0.4453125
1607013833.883477,4730,0.447265625
1607013843.5301428,4815,0.48828125
1607013848.5257843,4860,0.427734375
1607013849.0811782,4865,0.486328125
1607013852.4098544,4895,0.490234375
1607013852.9649599,4900,0.5
1607013855.7396202,4925,0.47265625
1607013865.9384067,5015,0.546875
1607013867.6039236,5030,0.517578125
1607013872.5980623,5075,0.373046875
1607013900.0276408,5320,0.447265625
1607013901.6931736,5335,0.4921875
1607013905.0246766,5365,0.486328125
1607013908.3540998,5395,0.5078125
1607013911.128774,5420,0.4921875
1607013916.6788845,5470,0.474609375
