Wall time,Step,Value
1606986716.7010972,95,34476.90625
1606986737.481696,215,130789.0390625
1606986740.1228764,230,26371.115234375
1606986749.9825811,285,49775.890625
1606986762.7852664,360,4006.82275390625
1606986782.1418612,475,690.025634765625
1606986834.349999,780,1142.5911865234375
1606986836.8771608,795,329.13519287109375
1606986844.445021,840,200.60360717773438
1606986897.047744,1150,51.184932708740234
1606986901.2571187,1175,21.15418243408203
1606986919.3419347,1280,132.60025024414062
1606986929.435107,1340,18.87367057800293
1606986934.4782326,1370,345.9210510253906
1606986964.3769088,1545,24.19608497619629
1606986966.0571356,1555,38.78791046142578
1606986972.7997212,1595,20.578054428100586
1606986997.2173765,1740,28556.29296875
1606987014.479689,1840,189.43344116210938
1606987060.3385086,2110,8.265179634094238
1606987078.0112026,2215,9.897333145141602
1606987093.5716722,2305,7.851468563079834
1606987105.3511539,2375,6.295450687408447
1606987157.9448225,2685,2.5982675552368164
1606987181.0994189,2820,3.3679587841033936
1606987194.564649,2900,3.1093249320983887
1606987200.4532454,2935,19.23629379272461
1606987201.2982397,2940,4.472016334533691
1606987235.1958528,3105,5.067663669586182
1606987247.0009544,3175,2.2721214294433594
1606987253.7367587,3215,2.3847737312316895
1606987257.944018,3240,2.6538355350494385
1606987270.1615841,3310,2.2948148250579834
1606987278.573534,3360,2.2505879402160645
1606987315.1747234,3575,1.9344873428344727
1606987321.9034536,3615,6.062526702880859
1606987328.641564,3655,2.0251355171203613
1606987350.9376023,3785,1.4330847263336182
1606987358.5115764,3830,1.6015373468399048
1606987361.8755105,3850,1.866580605506897
1606987363.5545762,3860,1.673291563987732
1606987375.3364036,3930,1.79866623878479
1606987377.020848,3940,1.5416977405548096
1606987382.919918,3975,1.6756843328475952
1606987390.079776,4015,1.7932924032211304
1606987395.131471,4045,1.8020477294921875
1606987418.6808374,4185,1.411824107170105
1606987511.295882,4730,2.0266218185424805
1606987526.0307713,4815,1.528625726699829
1606987533.597793,4860,1.1315611600875854
1606987534.4360497,4865,1.3206247091293335
1606987539.4901493,4895,1.233905553817749
1606987544.5338054,4925,1.2573509216308594
1606987560.1096091,5015,1.086469054222107
1606987562.632961,5030,1.1118569374084473
1606987570.2027118,5075,1.5321643352508545
1606987611.862891,5320,1.1473654508590698
1606987614.3864572,5335,1.5244641304016113
1606987619.437406,5365,1.131518840789795
1606987624.4837847,5395,1.349355936050415
1606987637.1093,5470,1.1737658977508545
1606987642.1597755,5500,1.5132672786712646
1606987646.790636,5525,1.3694617748260498
1606987690.9698343,5785,1.2758691310882568
1606987695.171107,5810,1.3526581525802612
1606987696.015608,5815,0.9984185099601746
1606987711.1638272,5905,1.4942626953125
1606987722.117474,5970,1.1429182291030884
1606987770.9325066,6225,1.5453665256500244
1606987785.6622727,6310,0.9561448097229004
1606987832.3757703,6585,1.0271443128585815
1606987834.901009,6600,1.5426238775253296
1606987846.6798227,6670,1.3542006015777588
1606987850.0421183,6690,1.0608476400375366
1606987890.8590832,6930,1.0056129693984985
1606987896.7509716,6965,1.1027519702911377
1606987915.6884916,7075,1.3222942352294922
1606987925.7870576,7135,1.1258035898208618
1606987934.1916544,7185,1.078545331954956
1606987959.8466733,7335,1.0127856731414795
1606987969.0933566,7390,1.1103860139846802
1606987975.8338103,7430,1.063406229019165
1606987980.8878505,7460,1.1542781591415405
1606988008.2592719,7620,1.1704245805740356
1606988033.0912163,7765,1.1899869441986084
1606988046.5621905,7845,1.0062921047210693
1606988060.042717,7925,1.4322946071624756
1606988063.4049506,7945,1.3361740112304688
1606988078.133881,8030,0.9516027569770813
1606988107.580742,8205,1.0985748767852783
1606988143.336288,8415,1.1025248765945435
1606988150.9131498,8460,1.0640829801559448
1606988155.9609997,8490,1.0062735080718994
1606988160.594041,8515,1.4245007038116455
1606988166.4846194,8550,1.2348369359970093
1606988174.062981,8595,1.2630763053894043
1606988185.83585,8665,0.9252649545669556
1606988187.515797,8675,0.8542517423629761
1606988190.039757,8690,1.5257413387298584
1606988197.615824,8735,1.1558488607406616
1606988227.4729388,8910,0.9933147430419922
1606988271.3924937,9135,1.5069921016693115
1606988286.5514317,9225,1.0558100938796997
1606988294.5617108,9270,1.232895016670227
1606988305.5090706,9335,1.2905316352844238
1606988308.0338686,9350,1.1954079866409302
1606988314.7656357,9390,1.018130898475647
1606988348.8485293,9590,0.8204684257507324
1606988363.147946,9675,1.2990309000015259
1606988371.557309,9725,885.5745849609375
1606988374.0788276,9740,245.0004119873047
1606988391.33842,9840,16.23924446105957
1606988404.790788,9920,4.519632339477539
1606988420.3632915,10010,3.656205654144287
1606988430.4493074,10070,1.5346598625183105
1606988449.7885594,10185,1.6295843124389648
1606988481.3422139,10370,1.0721890926361084
1606988483.8692918,10385,1.2940363883972168
1606988484.7115,10390,1.1422016620635986
1606988491.445324,10430,0.8741815686225891
1606988494.8129752,10450,1.6486269235610962
1606988500.7039988,10485,1.3138511180877686
1606988545.753112,10750,1.1869817972183228
1606988552.0732095,10785,1.2215303182601929
1606988559.641568,10830,1.2294132709503174
1606988578.1421275,10940,1.2803877592086792
1606988581.506031,10960,1.0988125801086426
